sku,Brand,Category,sub_category,sub_sub_category,Title,Description,Condition,Price,Image,Product Line,Product Series,Model,OEM Manufacturer,Product Type,# of Cores,Processor Speed,Socket Type
2PXCY, Dell ,Processors,Desktop Processors,NA,2PXCY - Dell 2.26GHz 2.5GT/s 2MB SmartCache Socket FCLGA1156 Intel Celeron G1101 Dual-Core Processor,Dell 2PXCY 2.26GHz 2.5GT/s 2MB SmartCache Socket FCLGA1156 Intel Celeron G1101 Dual-Core Processor,Refurbished,$88.00,https://cdn.cmshardware.com/images/Images/Products/2PXCY.webp,Celeron ,,G1101 ,,Micro Processor ,Single-core (1 Core) ,2.26 GHz,Socket FCLGA1156 
64MVM, Dell ,Processors,Desktop Processors,NA,64MVM - Dell 2.26GHz 2.5GT/s 2MB SmartCache Socket FCLGA1156 Intel Celeron G1101 Dual-Core Processor,Dell 64MVM 2.26GHz 2.5GT/s 2MB SmartCache Socket FCLGA1156 Intel Celeron G1101 Dual-Core Processor,Refurbished,$55.00,https://cdn.cmshardware.com/images/Images/Products/64MVM.webp,Celeron ,,G1101 ,,Micro Processor ,Single-core (1 Core) ,2.26 GHz,Socket FCLGA1156 
1TNHM, Dell ,Processors,Server Processors,NA,1TNHM - Dell 2.40GHz LGA1366 Xeon L5530 4-Core Processor,Dell 1TNHM 2.40GHz 5.86GT/s QPI 8MB L3 Cache Socket FCLGA1366 Intel Xeon L5530 Quad-core (4 Core) Processor,Refurbished,$82.00,https://cdn.cmshardware.com/images/Images/Products/1TNHM-o.webp,Xeon ,,,,Micro Processor ,Quad-core (4 Core) ,2.40 GHz,Socket FCLGA1366 
P05688-B21, HPE ,Processors,Server Processors,NA,P05688-B21 - HPE 2.10GHz LGA3647 Xeon Gold 6230 20-Core Processor,HPE P05688-B21 2.10GHz 10.40GT/s UPI 27.5MB L3 Cache Socket FCLGA3647 Intel Xeon Gold 6230 Icosa-core (20 Core) Processor Kit For ProLiant DL580 Gen10,Refurbished,$262.00,https://cdn.cmshardware.com/images/Images/Products/P05688-B21.webp,,,,,,,,
DYVK1, Dell ,Processors,Server Processors,NA,DYVK1 - Dell 3.60GHz LGA3647 Gold 6244 8-Core Processor,Dell DYVK1 3.60GHz 24.75MB L3 Cache Socket FCLGA3647 Intel Xeon Gold 6244 Octa-core (8 Core) Processor,Refurbished,$520.00,https://cdn.cmshardware.com/images/Images/Products/DYVK1.webp,,,,,,,,
FU758, Dell ,Processors,Server Processors,NA,FU758 - Dell 1.86GHz PLGA771 Xeon L5320 4-Core Processor,Dell FU758 1.86GHz 1066MHz FSB 8MB L2 Cache Socket PLGA771 Intel Xeon L5320 Quad-core (4 Core) Processor,Refurbished,$68.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Xeon-Gen.webp,Xeon ,,E5320  ,,Micro Processor ,Quad-core (4 Core) ,1.8 GHz,Socket LGA771 
RT179, Dell ,Processors,Server Processors,NA,RT179 - Dell 3.20GHz PPGA604 Xeon 7130M 2-Core Processor,Dell RT179 3.20GHz 800MHz FSB 8MB L2 Cache Socket PPGA604 Intel Xeon 7130M Dual-core (2 Core) Processor,Refurbished,$75.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Core-Gen.webp,Xeon ,,7130M  ,,Micro Processor ,Dual-core (2 Core) ,3.20 GHz,Socket PPGA604 
C3YR1, Dell ,Processors,Server Processors,NA,C3YR1 - Dell 3.50GHz LGA1150 E3-1246V3 4-Core Processor,Dell C3YR1 3.50GHz 5.00GT/s DMI2 8MB L3 Cache Socket FCLGA1150 Intel Xeon E3-1246V3 Quad-core (4 Core) Processor,Refurbished,$100.00,https://cdn.cmshardware.com/images/Images/Products/C3YR1-o.webp,,,,,,,,
6NJHT, Dell ,Processors,Desktop Processors,NA,6NJHT - Dell 3.40GHz 5GT/s DMI 6MB SmartCache Socket FCLGA1155 Intel-Core i5-3570 Quad-Core Processor,Dell 6NJHT 3.40GHz 5GT/s DMI 6MB SmartCache Socket FCLGA1155 Intel-Core i5-3570 Quad-Core Processor,Refurbished,$118.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Core-Gen.webp,,,,,,,,
DT3H9, Dell ,Processors,Server Processors,NA,DT3H9 Dell Xeon Gold 2.10GHz Server CPU,Dell DT3H9 2.10GHz 3 UPI Links 30.25MB L3 Cache Socket FCLGA3647 Intel Xeon Gold 6152 22-Core Processor,Refurbished,$185.00,https://cdn.cmshardware.com/images/Images/Products/DT3H9.webp,Xeon Gold ,6000 ,,Intel ,Micro Processor ,Docosa-core (22 Core) ,2.1 GHz,Socket FCLGA3647 
0RVP0, Dell ,Processors,Server Processors,NA,0RVP0 Dell Xeon 2.40GHz Server CPU,Dell 0RVP0 2.40GHz 8GT/s 15MB L3 Smart Cache Socket FCLGA2011-3 Intel Xeon E5-2620 v3 6-Core Processor,Refurbished,$98.00,https://cdn.cmshardware.com/images/Images/Products/0RVP0-o.webp,Xeon ,,,,Micro Processor ,Hexa-core (6 Core) ,2.40 GHz,Socket FCLGA2011 
X2K02, Dell ,Processors,Laptop Processors,NA,X2K02 - Dell 2.6GHz 2.5GT/s DMI 3MB L3 Cache Socket C7517PGA988 Intel Core i5-560M Dual-core (2 Core) Processor,Dell X2K02 2.6GHz 2.5GT/s DMI 3MB L3 Cache Socket C7517PGA988 Intel Core i5-560M Dual-core (2 Core) Processor,Refurbished,$94.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Core-Gen.webp,Core i5 ,,560M  ,,Micro Processor ,Dual-core (2 Core) ,2.6 GHz,
Y934C, Dell ,Processors,Desktop Processors,NA,Y934C - Dell 3.16GHz LGA775 Core 2 Duo E8500 2-Core Processor,Dell Y934C 3.16GHz 1333MHz FSB 6MB L2 Cache Socket LGA775 Intel Core 2 Duo E8500 Dual-core (2 Core) Processor,Refurbished,$112.00,https://cdn.cmshardware.com/images/Images/Products/Y934C.webp,Core 2 Duo ,,E8500 ,,Micro Processor ,Dual-core (2 Core) ,3.1 GHz,Socket T LGA-775 
3HHHG, Dell ,Processors,Laptop Processors,NA,3HHHG - Dell 2.2GHz 5.0GT/s DMI 3MB L3 Cache Socket PPGA988 Intel Core i3-2330M Dual-core (2 Core) Processor,Dell 3HHHG 2.2GHz 5.0GT/s DMI 3MB L3 Cache Socket PPGA988 Intel Core i3-2330M Dual-core (2 Core) Processor,Refurbished,$100.00,https://cdn.cmshardware.com/images/Images/Products/3HHHG-s.webp,Core i3 ,i3-2300 ,i3-2330M ,,Micro Processor ,Dual-core (2 Core) ,2.2 GHz,
40PWU, Dell ,Processors,Desktop Processors,NA,40PWU - Dell 800MHz 133MHz FSB 256KB L2 Cache Socket SECC2 Intel Pentium III Single-core (1 Core) Processor,Dell 40PWU 800MHz Intel Pentium III Processor,Refurbished,$72.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-3.webp,Pentium III ,,,,Micro Processor ,Single-core (1 Core) ,800 MHz,Socket PPGA370 
X198G, Dell ,Processors,Desktop Processors,NA,X198G - Dell 2.53GHz Socket LGA775 Core 2 Duo E7200 2-Core Processor,Dell X198G 2.53GHz 1066MHz FSB 3MB L2 Cache Socket LGA775 Intel Core 2 Duo E7200 Dual-core (2 Core) Processor,Refurbished,$79.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Core-Gen.webp,Core 2 Duo ,,E7200  ,,Micro Processor ,Dual-core (2 Core) ,2.53 GHz,Socket T LGA-775 
13M23, Dell ,Processors,Laptop Processors,NA,13M23 - Dell 2.53GHz 2.5GT/s 3MB Cache Socket PPGA988 Intel Core i5-460M Dual Core Processor,Dell 13M23 2.53GHz 2.5GT/s 3MB Cache Socket PPGA988 Intel Core i5-460M Dual Core Processor,Refurbished,$110.00,https://cdn.cmshardware.com/images/Images/Products/13M23-o.webp,Core i3 ,,i5-460M ,,Micro Processor ,Dual-core (2 Core) ,2.53 GHz,
286K7, Dell ,Processors,Laptop Processors,NA,286K7 - Dell 2.1GHz 5.0GT/s 3MB L3 Cache Socket PPGA988 Intel Core i3-2310M Dual-core (2 Core) Processor,Dell 286K7 2.1GHz 5.0GT/s 3MB L3 Cache Socket PPGA988 Intel Core i3-2310M Dual-core (2 Core) Processor,Refurbished,$100.00,https://cdn.cmshardware.com/images/Images/Products/286K7-s.webp,Core i3 ,, 2310M ,,Micro Processor ,Dual-core (2 Core) ,2.10 GHz,Socket PGA-988 
31CGV, Dell ,Processors,Desktop Processors,NA,31CGV - Dell 866Mhz 133Mhz FSB 256MB L2 Cache Socket 370 Intel Pentium III Single-core (1 Core) Processor,Dell 31CGV 866MHz Intel Pentium III Processor,Refurbished,$62.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-3.webp,Pentium III ,,,,Micro Processor ,Single-core (1 Core) ,866 MHz,Socket PPGA370 
3F235, Dell ,Processors,Desktop Processors,NA,3F235 - Dell 800MHz 100MHz FSB 256KB L2 Cache Socket SECC2 Intel Pentium III Single-core (1 Core) Processor,Dell 3F235 800MHz Intel Pentium III Processor,Refurbished,$110.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-3.webp,Pentium III ,,,,Micro Processor ,Single-core (1 Core) ,800 MHz,Socket PPGA370 
0R7078, Dell ,Processors,Desktop Processors,NA,0R7078 - Dell 2.80GHz 533MHz FSB 1MB L2 Cache Socket PGA478 Intel Pentium 4 Single-core (1 Core) Processor,Dell 0R7078 2.8GHz Intel Pentium 4 Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Categories/desktopprocessors.webp,Pentium 4 ,,,,Micro Processor ,Single-core (1 Core) ,2.80 GHz,Socket PGA-478 
075D7, Dell ,Processors,Laptop Processors,NA,075D7 - Dell 2.1GHz 5.0GT/s 3MB L3 Cache Socket PPGA988 Intel Core i3-2310M Dual-core (2 Core) Processor,Dell 075D7 2.1GHz 5.0GT/s 3MB L3 Cache Socket PPGA988 Intel Core i3-2310M Dual-core (2 Core) Processor,Refurbished,$139.00,https://cdn.cmshardware.com/images/Images/Products/075D7.webp,,,,,Micro Processor ,Dual-core (2 Core) ,2.1 GHz,Socket BGA-479 
RM492, Dell ,Processors,Laptop Processors,NA,RM492 - Dell 2.40GHz Socket PGA478 Core 2 Duo T8300 2-Core Processor,Dell RM492 2.40GHz 800MHz FSB 3MB L2 Cache Socket BGA479 / PGA478 Intel Core 2 Duo T8300 Dual-core (2 Core) Processor,Refurbished,$96.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Core-2-Duo-Gen.webp,Core 2 Duo ,T8000 ,T8300 ,,Micro Processor ,Dual-core (2 Core) ,2.40 GHz,Socket P PGA-478 
U521H, Dell ,Processors,Laptop Processors,NA,U521H - Dell 2.40GHz Socket PGA478 Core 2 Duo T8300 2-Core Processor,Dell U521H 2.40GHz 800MHz FSB 3MB L2 Cache Socket BGA479 / PGA478 Intel Core 2 Duo T8300 Dual-core (2 Core) Processor,Refurbished,$96.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Core-2-Duo-Gen.webp,Core 2 Duo ,T8000 ,T8300 ,,Micro Processor ,Dual-core (2 Core) ,2.40 GHz,Socket P PGA-478 
J144D, Dell ,Processors,Laptop Processors,NA,J144D - Dell 2.40GHz Socket PGA478 Core 2 Duo T8300 2-Core Processor,Dell J144D 2.40GHz 800MHz FSB 3MB L2 Cache Socket BGA479 / PGA478 Intel Core 2 Duo T8300 Dual-core (2 Core) Processor,Refurbished,$96.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Core-2-Duo-Gen.webp,Core 2 Duo ,T8000 ,T8300 ,,Micro Processor ,Dual-core (2 Core) ,2.40 GHz,Socket P PGA-478 
K600F, Dell ,Processors,Laptop Processors,NA,K600F - Dell 2.40GHz Socket PGA478 Core 2 Duo T8300 2-Core Processor,Dell K600F 2.40GHz 800MHz FSB 3MB L2 Cache Socket BGA479 / PGA478 Intel Core 2 Duo T8300 Dual-core (2 Core) Processor,Refurbished,$96.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Core-2-Duo-Gen.webp,Core 2 Duo ,T8000 ,T8300 ,,Micro Processor ,Dual-core (2 Core) ,2.40 GHz,Socket P PGA-478 
0CR6K, Dell ,Processors,Laptop Processors,NA,0CR6K - Dell 2.2GHz 5.0GT/s DMI 3MB L3 Cache Socket PPGA988 Intel Core i3-2330M Dual-core (2 Core) Processor,Dell 0CR6K 2.2GHz 5.0GT/s DMI 3MB L3 Cache Socket PPGA988 Intel Core i3-2330M Dual-core (2 Core) Processor,Refurbished,$100.00,https://cdn.cmshardware.com/images/Images/Products/0CR6K-s.webp,Core i3 ,i3-2300 ,i3-2330M ,,Micro Processor ,Dual-core (2 Core) ,2.2 GHz,
45URC, Dell ,Processors,Desktop Processors,NA,45URC - Dell 550MHz 100MHz FSB 256KB L2 Cache Socket SECC2 Intel Pentium III Single-core (1 Core) Processor,Dell 45URC 550MHz Intel Pentium III Processor,Refurbished,$112.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-3.webp,Pentium III ,,,,Micro Processor ,Single-core (1 Core) ,550 MHz,Socket SECC2242 
M8965, Dell ,Processors,Desktop Processors,NA,M8965 - Dell 3.80GHz 800MHz 1MB Cache Socket LGA775 Intel Pentium 4 570J Processor,Dell M8965 3.80GHz 800MHz 1MB Cache Socket LGA775 Intel Pentium 4 570J Processor,Refurbished,$106.00,https://cdn.cmshardware.com/images/Images/Products/M8965-s.webp,Pentium 4 ,,570 ,Intel ,Micro Processor ,Single-core (1 Core) ,3.80 GHz,Socket PLGA-775 
TN961, Dell ,Processors,Laptop Processors,NA,TN961 - Dell 2.60GHz 800MHz 4MB Cache Socket PPGA478 Intel Core 2 Duo T7800 Dual Core Processor,Dell TN961 2.60GHz 800MHz 4MB Cache Socket PPGA478 Intel Core 2 Duo T7800 Dual Core Processor,Refurbished,$247.00,https://cdn.cmshardware.com/images/Images/Products/TN961-o.webp,Core 2 Duo ,,T7800  ,HP ,Micro Processor ,Dual-core (2 Core) ,2.60 GHz,
8536T, Dell ,Processors,Desktop Processors,NA,8536T - Dell 667MHz 133MHz FSB 256KB L2 Cache Socket PGA370 Intel Pentium III Single-core (1 Core) Processor,Dell 8536T 667MHz Intel Pentium III Processor,Refurbished,$122.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-3.webp,Pentium III ,,,Intel ,Micro Processor ,Single-core (1 Core) ,667 MHz,Socket PGA-370 
F1056, Dell ,Processors,Desktop Processors,NA,F1056 - Dell 2.8GHz 533MHz FSB 512KB Cache Intel Pentium 4 Processor,Dell F1056 2.8GHz Intel Pentium 4 Processor,Refurbished,$148.00,https://cdn.cmshardware.com/images/Images/Categories/desktopprocessors.webp,Pentium 4 ,,,,Micro Processor ,,2.8 GHz,
R8215, Dell ,Processors,Server Processors,NA,R8215 - Dell 3.00GHz Socket PPGA604 Xeon 1-Core Processor,Dell R8215 3.00GHz 800MHz FSB 2MB L2 Cache Socket PPGA604 Intel Xeon Single-core (1 Core) Processor For Poweredge 2850,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Xeon.webp,Xeon ,,,,Micro Processor ,Single-core (1 Core) ,3 GHz,Socket PGA-604 
3418R, Dell ,Processors,Desktop Processors,NA,3418R - Dell 600MHz 133MHz FSB 256KB L2 Cache Socket SECC2 Intel Pentium III Single-core (1 Core) Processor for Poweredge 4400,Dell 3418R 600MHz Intel Pentium III Processor,Refurbished,$138.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-3.webp,Pentium III ,,,,Micro Processor ,Single-core (1 Core) ,600 MHz,Socket SECC2242 
FD876, Dell ,Processors,Desktop Processors,NA,FD876 - Dell 2.93GHz 533MHz FSB 256KB L2 Cache Socket PLGA775 Intel Celeron D 341 Single-core (1 Core) Processor,Dell FD876 2.93GHz 533MHz FSB 256KB L2 Cache Intel Celeron D 341 Processor,Refurbished,$88.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Celeron-D-341.webp,Celeron ,300 ,341 ,Intel ,Micro Processor ,Single-core (1 Core) ,533 MHz,Socket PLGA-775 
FK632, Dell ,Processors,Server Processors,NA,FK632 - Dell 3.00GHz PLGA771 Xeon 5050 2-Core Processor,Dell FK632 3.00GHz 667MHz FSB 4MB L2 Cache Socket PLGA771 Intel Xeon 5050 Dual-core (2 Core) Processor,Refurbished,$55.00,https://cdn.cmshardware.com/images/Images/Products/FK632.webp,Xeon ,5000 ,5050 D ,,Processor Upgrade ,Dual-core (2 Core) ,667 MHz,Socket LGA771 
FN151, Dell ,Processors,Server Processors,NA,FN151 - Dell 1.60GHz PLGA771 Xeon E5310 4-Core Processor,Dell FN151 1.60GHz 1066MHz FSB 8MB L2 Cache Socket PLGA771 Intel Xeon E5310 Quad-core (4 Core) Processor,Refurbished,$98.00,https://cdn.cmshardware.com/images/Images/Products/FN151.webp,Xeon ,E5300 ,"
E5310 ",,Processor Upgrade ,Quad-core (4 Core) ,1066 MHz,Socket LGA771 
FK633, Dell ,Processors,Server Processors,NA,FK633 - Dell 3.20GHz PLGA771 Xeon 5063 2-Core Processor,Dell FK633 3.20GHz 1066MHz FSB 4MB L2 Cache Socket PLGA771 Intel Xeon 5063 Dual-core (2 Core) Processor,Refurbished,$52.00,https://cdn.cmshardware.com/images/Images/Products/FK633.webp,Xeon ,,5063 ,,Micro Processor ,Dual-core (2 Core) ,3.20 GHz,
FK634, Dell ,Processors,Server Processors,NA,FK634 - Dell 3.73GHz PLGA771 Xeon 5080 2-Core Processor,Dell FK634 3.73GHz 1066MHz FSB 4MB L2 Cache Socket PLGA771 Intel Xeon 5080 Dual-core (2 Core) Processor,Refurbished,$72.00,https://cdn.cmshardware.com/images/Images/Products/FK634.webp,Xeon ,5000 ,"
5080 ",,Processor Upgrade ,Dual-core (2 Core) ,"
1066  MHz",Socket PLGA771 
DF178, Dell ,Processors,Server Processors,NA,DF178 - Dell 3.33GHz Socket LGA771 X5260 2-Core Processor,Dell DF178 3.33GHz 1333MHz FSB 6MB L2 Cache Socket LGA771 Intel Xeon X5260 Dual-core (2 Core) Processor,Refurbished,$85.00,https://cdn.cmshardware.com/images/Images/Products/All-Remaining-Generic.webp,Xeon ,X5000 ,"
X5260 ",,Processor Upgrade ,Dual-core (2 Core) ,1333 MHz,Socket LGA771 
DK040, Dell ,Processors,Server Processors,NA,DK040 - Dell 2.00GHz Socket LGA771 Xeon 5130 2-Core Processor,Dell DK040 2.00GHz 1333MHz FSB 4MB L2 Cache Socket LGA771 Intel Xeon 5130 Dual-core (2 Core) Processor,Refurbished,$140.00,https://cdn.cmshardware.com/images/Images/Products/DK040.webp,Xeon ,5100 ,5130 ,,Processor Upgrade ,Dual-core (2 Core) ,1 MHz,Socket LGA771 
DK050, Dell ,Processors,Desktop Processors,NA,DK050 - Dell 3.2GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 940 Dual-core (2 Core) Processor,Dell DK050 3.2GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 940 Dual-core (2 Core) Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/DK050.webp,Pentium D ,,940 ,,Micro Processor ,Dual-core (2 Core) ,3.20 GHz,Socket PLGA-775 
DN522, Dell ,Processors,Desktop Processors,NA,DN522 - Dell 2.40GHz PLGA775 Core 2 Duo E6600 2-Core Processor,Dell DN522 2.40GHz 1066MHz FSB 4MB L2 Cache Socket PLGA775 Intel Core 2 Duo E6600 Dual-core (2 Core) Processor,Refurbished,$125.00,https://cdn.cmshardware.com/images/Images/Products/Intel-E6600.webp,Core 2 Duo ,E6000 ,E6600 ,,Micro Processor ,Dual-core (2 Core) ,2.40 GHz,Socket LGA775 
DN783, Dell ,Processors,Server Processors,NA,DN783 - Dell 1.86GHz Socket PLGA775 Xeon 3040 2-Core Processor,Dell DN783 1.86GHz 1066MHz FSB 2MB L2 cache Socket PLGA775 Intel Xeon 3040 Dual-core (2 Core) Processor,Refurbished,$195.00,https://cdn.cmshardware.com/images/Images/Products/DN783-O.webp,Xeon ,3000 ,3040 ,,Processor Upgrade ,Dual-core (2 Core) ,1066 MHz,Socket T LGA-775 
DJ057, Dell ,Processors,Laptop Processors,NA,DJ057 - Dell 2.16GHz 667MHz FSB Intel Core Duo T2600 2-Core Processor,Dell DJ057 2.16GHz 667MHz FSB 2MB L2 Cache Intel Core Duo T2600 Dual Core Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/DJ057.webp,Core Duo ,T2000 ,T2600 ,,Processor Upgrade ,Dual-core (2 Core) ,667 MHz,Socket P PGA-478 
DRJF8, Dell ,Processors,Server Processors,NA,DRJF8 - Dell 2.80GHz Intel Xeon E7-2890 v2 15-Core Processor,Dell DRJF8 2.80GHz 8.00GT/s QPI 37.5MB L3 Cache Intel Xeon E7-2890 v2 15 Core Processor,New,$117.60,https://cdn.cmshardware.com/images/Images/Products/DRJF8.webp,Xeon ,,2890 ,,Micro Processor ,Pentadeca-core (15 Core) ,2.80 GHz,
DT883, Dell ,Processors,Desktop Processors,NA,DT883 - Dell 3.60GHz 800MHz FSB 2MB L2 Cache Socket PLGA775 Intel Pentium 4 661 Single-core (1 Core) Processor,Dell DT883 3.60GHz 800MHz FSB 2MB L2 Cache Intel Pentium 4 661 Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-4-661.webp,Pentium 4 ,600 ,660 ,,Micro Processor ,Single-core (1 Core) ,3.60 GHz,Socket PLGA-775 
DK593, Dell ,Processors,Desktop Processors,NA,DK593 - Dell 3.00GHz 800MHz FSB 2MB L2 Cache Socket PLGA775 Intel Pentium 4 631 Single-core (1 Core) Processor,Dell DK593 3.00GHz 800MHz FSB 2MB L2 Cache Intel Pentium 4 631 Processor,Refurbished,$69.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-4-631.webp,Pentium 4 ,,631 ,,Micro Processor ,Single-core (1 Core) ,3.00 GHz,
DK594, Dell ,Processors,Desktop Processors,NA,DK594 - Dell 3.60GHz 800MHz FSB 2MB L2 Cache Socket PLGA775 Intel Pentium 4 661 Single-core (1 Core) Processor,Dell DK594 3.60GHz 800MHz FSB 2MB L2 Cache Intel Pentium 4 661 Processor,Refurbished,$66.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-4-661.webp,Pentium 4 ,600 ,660 ,,Micro Processor ,Single-core (1 Core) ,3.60 GHz,Socket PLGA-775 
DH715, Dell ,Processors,Desktop Processors,NA,DH715 - Dell 2.80GHz 533MHz FSB 256KB L2 Cache Socket PLGA775 Intel Celeron D 336 Single-core (1 Core) Processor,Dell DH715 2.80GHz 533MHz FSB 256KB L2 Cache Intel Celeron D 336 Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Celeron-D-336.webp,Celeron D ,,336 ,,Micro Processor ,Single-core (1 Core) ,2.80 GHz,Socket PLGA-775 
DH716, Dell ,Processors,Desktop Processors,NA,DH716 - Dell 2.93GHz 533MHz FSB 256KB L2 Cache Socket PLGA775 Intel Celeron D 341 Single-core (1 Core) Processor,Dell DH716 2.93GHz 533MHz FSB 256KB L2 Cache Intel Celeron D 341 Processor,Refurbished,$88.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Celeron-D-341.webp,Celeron ,300 ,341 ,Intel ,Micro Processor ,Single-core (1 Core) ,533 MHz,Socket PLGA-775 
DN518, Dell ,Processors,Server Processors,NA,DN518 - Dell 2.13GHz Socket PLGA775 Xeon 3050 2-Core Processor,Dell DN518 2.13GHz 1066MHz FSB 2MB L2 Cache Socket PLGA775 Intel Xeon 3050 Dual-core (2 Core) Processor,Refurbished,$147.00,https://cdn.cmshardware.com/images/Images/Products/DN518-O.webp,Xeon ,3000 ,"
3050 ",,Processor Upgrade ,Dual-core (2 Core) ,1066 MHz,Socket T LGA-775 
DP982, Dell ,Processors,Server Processors,NA,DP982 - Dell 2.00GHz PLGA771 Xeon L5335 4-Core Processor,Dell DP982 2.00GHz 1333MHz FSB 8MB L2 Cache Socket PLGA771 Intel Xeon L5335 Quad-core (4 Core) Processor,Refurbished,$60.00,https://cdn.cmshardware.com/images/Images/Products/DP982.webp,Xeon ,L5000 ,L5335 ,,Processor Upgrade ,Quad-core (4 Core) ,1333 MHz,Socket PLGA771 
F224K, Dell ,Processors,Server Processors,NA,F224K - Dell 3.50GHz Socket LGA771 X5270 2-Core Processor,Dell F224K 3.50GHz 1333MHz FSB 6MB L2 Cache Socket LGA771 Intel Xeon X5270 Dual-core (2 Core) Processor,Refurbished,$168.00,https://cdn.cmshardware.com/images/Images/Products/F224K.webp,Xeon ,X5000 ,"
X5270 ",,Processor Upgrade ,Dual-core (2 Core) ,1333 MHz,Socket LGA771 
F309J, Dell ,Processors,Desktop Processors,NA,F309J - Dell 2.33GHz 1333MHz FSB 4MB L2 Cache Socket LGA775 Intel Core 2 Quad Q8200 Quad-core (4 Core) Processor,Dell F309J 2.33GHz 1333MHz FSB 4MB L2 Cache Intel Core 2 Quad Q8200 Processor,Refurbished,$231.00,https://cdn.cmshardware.com/images/Images/Products/F309J.webp,Core 2 Quad ,, Q8200  ,,Processor Upgrade ,Quad-core (4 Core) ,2.33 GHz,Socket PLGA-775 
F330C, Dell ,Processors,Laptop Processors,NA,F330C - Dell 1.33GHz PBGA479 Celeron M 215 1-Core Processor,Dell F330C 1.33GHz 533MHz FSB 512KB L2 Cache Socket PBGA479 Intel Celeron M 215 Single-core (1 Core) Processor For Latitude D430,Refurbished,$206.00,https://cdn.cmshardware.com/images/Images/Products/F330C.webp,Celeron ,200 ,215 ,,Processor Upgrade ,Single-core (1 Core) ,533 MHz,Socket BGA-479 
F357H, Dell ,Processors,Desktop Processors,NA,F357H - Dell 2.83GHz Socket LGA775 Core 2 Quad Q9550 Processor,Dell F357H Intel Core 2 Quad Q9550 2.83GHz 1333MHz FSB 12MB L2 Cache Socket LGA775 Desktop Processor (Tray part),Refurbished,$228.00,https://cdn.cmshardware.com/images/Images/Products/F357H.webp,Core 2 Quad ,,Q9550  ,,Micro Processor ,Dual-core (2 Core) ,2.83 GHz,Socket PLGA-775 
F4946, Dell ,Processors,Desktop Processors,NA,F4946 - Dell 2.80GHz 533MHz FSB 512KB L2 Cache Socket PGA478 Intel Pentium 4 Single-core (1 Core) Processor,Dell F4946 2.80GHz 533MHz FSB 512KB L2 Cache Intel Pentium 4 Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-4.webp,Pentium 4 ,,,,Micro Processor ,Single-core (1 Core) ,2.80 GHz,Socket PGA-478 
F2274, Dell ,Processors,Laptop Processors,NA,F2274 - Dell 3.06GHz 533MHz FSB 512KB L2 Cache Socket PGA478 Intel Pentium 4 Single-core (1 Core) Processor,Dell F2274 3.06GHz 533MHz FSB 512KB L2 Cache Intel Pentium 4 Mobile Processor,Refurbished,$104.00,https://cdn.cmshardware.com/images/Images/Products/F2274.webp,Pentium 4 ,,,,Processor Upgrade ,Single-core (1 Core) ,3.06 GHz,Socket PGA-478 
F419J, Dell ,Processors,Desktop Processors,NA,F419J - Dell 2.93GHz LGA1366 Core i7-940 4-Core Processor,Dell F419J 2.93GHz 4.80GT/s QPI 8MB L3 Cache Socket FCLGA1366 Intel Core i7-940 Quad-core (4 Core) Processor,Refurbished,$129.00,https://cdn.cmshardware.com/images/Images/Products/F419J.webp,,,,,,,,
F4421, Dell ,Processors,Desktop Processors,NA,F4421 - Dell 3.40GHz Socket PGA478 Pentium 4 1-Core Processor,Dell F4421 3.40GHz 800MHz FSB 512KB L2 Cache Socket PGA478 Intel Pentium 4 Single-core (1 Core) Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/F4421.webp,Pentium 4 ,,,,Processor Upgrade ,Single-core (1 Core) ,3.40 GHz,Socket PGA-478 
